"","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP.","ev_SH.","ev_PDO","ev_F.60","ev_A.60","ev_Pct.","ev_RelPct.","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO.","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI.GP","pp_F.60","pp_A.60","pp_Pct.","pp_RelPct.","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F.60","pk_A.60","pk_Pct.","pk_RelPct.","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars","position"
"261",1425000,67,-8,-2,22,0,3,-1.3,49.3,38.2,92,6,14,7,20,71.4,7.7,993,55.9,54.4,50.7,2.2,6.5,27,103,76,52,5,4,9,185.4,30,62,29,28,32,319,54.7,749,731,527,547,109,117,4,4,2,8,8534,2.1,81.1,9.4,89.6,-2.6,1,0,1,1768,0.45,11.8,48.4,19.6,0.6,2,2,6,1,0,1,65.8,11.9,1,0,1,4.8,0,0,0,4,"F"
"262",1950000,79,4,-1.5,101,0,0,-16.1,33.8,50.3,325,7,17,8,24,64.9,9.1,1016,49.9,54.5,47.8,-1,10.1,37,155,129,104,10,9,19,155.2,196,62,33,20,11,4,40,721,791,540,576,111,120,0,0,0,0,443,0.13,30.9,0,100,10.3,0,0,0,5220,1.11,13.7,93.2,12.8,3.1,1,5,151,25,26,51,1822.3,-8.5,2,0,2,86.9,0,1,6.6,2,"F"
"263",660000,1,-1,-0.2,0,0,0,0,0.8,1,1,0,0,0,0,0,0,833,39.1,78.2,33.3,-18.3,0.2,1,1,1,1,0,0,0,0,0,3,1,0,1,0,0,9,18,7,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.3,-39.1,0,0,0,1.1,0,0,0,0,"F"
"264",1100000,82,9,-1.2,16,0,1,8.8,42.1,60.4,151,9,12,7,21,70,6.6,1005,47.2,59.9,44.1,-5.1,10.1,43,141,118,84,7,10,17,194.1,45,119,14,25,64,17,46.9,831,1052,619,732,127,130,0,0,0,0,677,0.18,53.6,8.9,85.7,-0.4,0,2,2,10401,2.12,13.8,107,11.4,-4.6,9,20,27,3,4,7,280.9,-3,0,0,0,2.7,5,1,25.9,3,"F"
"265",650000,3,1,0.6,0,0,0,0,1.3,0.9,2,1,0,0,1,66.7,9.6,1013,52.4,45.6,53.5,10.6,0.4,2,7,7,6,1,0,1,0,2,2,0,0,0,12,48,22,19,19,16,5,0,0,0,0,0,7,0.14,0,0,0,0,0,0,0,80,0.49,0,120.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"266",677500,36,-2,0.5,70,0,0,-11,16.2,15.7,149,0,2,2,2,33.3,3.5,979,57,48.8,53.9,2.9,4.1,12,80,56,38,5,2,7,116.5,69,47,10,5,7,41,62.1,349,299,250,221,47,53,0,0,0,0,166,0.1,50.3,0,100,12.3,0,0,0,364,0.21,15.8,42.6,27.1,12.1,0,0,78,10,3,13,673.1,-4.2,0,0,0,6.2,0,0,1.8,0,"F"
"267",5750000,68,28,1.7,36,1,4,4.3,72,50.8,181,25,15,8,40,78.4,11.1,1042,57.1,53.5,51.6,3.3,11.5,46,159,133,88,7,9,16,135.7,84,83,25,38,42,28,41.5,865,809,657,592,138,134,7,6,4,13,11835,2.83,113.2,10.3,91.7,6.5,1,2,3,4042,1.06,18.8,63.3,22.9,9.4,6,5,231,45,73,118,3342.7,15.3,19,26,45,619.9,24,6,335.5,12,"F"
"268",3150000,79,-2,4.4,24,0,2,8.7,86.6,52.5,156,19,14,7,33,75.9,7.7,999,61.4,58,51.4,2.1,15.7,56,255,208,156,15,15,30,168.4,80,61,12,25,34,2,50,1047,985,789,684,164,138,13,5,1,18,14001,2.82,113.1,14.8,88.4,4.7,0,0,0,812,0.2,3.8,93.4,3.9,-6.8,1,2,131,15,15,30,1379.6,20.5,12,7,19,228,6,0,60.2,11,"F"
"269",2750000,72,5,8.1,28,0,4,-0.9,38.6,39.6,105,14,11,5,25,70.4,7.5,996,56.3,52.9,51.6,4,10.9,35,192,157,120,10,14,24,115.8,39,64,16,19,31,379,55.4,826,775,632,577,105,78,1,0,0,1,871,0.28,63.3,6.2,91,2.5,0,0,0,4630,1.11,11.4,84.7,11.9,0.5,4,6,194,23,32,55,1945.6,-17,1,1,2,16.1,23,5,321.7,4,"F"
"270",650000,11,5,0.4,4,0,0,0,4.8,5.1,21,2,2,2,4,66.7,10.3,1083,63,50.8,55.4,7.2,1.2,3,21,20,18,1,2,3,35.3,15,17,2,1,2,34,47.2,106,87,82,66,10,9,0,0,0,0,42,0.03,0,0,0,0,0,0,0,533,0.82,19.8,85.7,18.8,11.2,0,0,1,0,0,0,8.1,-14.9,0,0,0,0,0,0,0,0,"F"
"271",650000,1,1,-0.1,0,0,0,0,0.8,0.7,2,0,0,0,0,0,40,1257,48.6,86.4,36,-6.9,0.1,1,1,1,0,0,0,0,0,0,0,2,0,2,1,100,9,16,8,10,4,3,0,0,0,0,0,0.07,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"272",675000,10,1,0.9,2,0,1,-1,3.7,2.7,27,1,0,0,1,50,4.8,1013,49.5,46.6,51.5,4.8,1.3,5,18,15,10,0,2,2,0,20,7,2,1,5,7,38.9,75,70,57,40,14,9,0,0,0,0,59,0.14,0,0,0,-100,0,0,0,14,0.01,0,0,0,0,0,0,15,0,2,2,153.1,-8.2,0,0,0,0.5,0,0,0,1,"F"
"273",650000,3,1,-0.2,2,0,0,-1,1.7,1.8,13,0,2,1,2,100,11.8,1065,48,62.7,43.4,-6.5,0.2,1,3,3,3,0,0,0,13.5,11,3,2,3,0,0,0,27,35,23,24,7,7,0,0,0,0,73,0.5,117.9,0,100,20,0,0,0,0,0.14,0,0,0,0,0,0,3,0,2,2,32.6,-3.7,0,0,0,1.9,0,0,0,0,"F"
"274",5500000,73,-13,-1.5,16,1,6,3.8,63.3,40.9,82,12,15,9,27,77.1,7.2,994,54.6,50.2,52.1,3,9.8,22,236,179,134,6,12,18,236.1,46,58,44,36,14,63,43.1,919,847,688,658,95,100,9,17,8,26,13508,2.99,95.2,11.6,89.1,0.4,0,0,0,24,0.05,0,0,0,-9.9,0,0,91,5,29,34,1032.1,9,3,5,8,168.6,0,0,1.6,15,"F"
"275",2860000,81,-6,5.8,16,1,2,5.2,74.4,44.5,76,10,17,7,27,73,7,986,57.2,46.4,55.2,6.5,9.7,35,202,165,117,5,10,15,193,24,68,54,43,29,186,48.3,1034,843,774,660,154,132,5,10,3,15,10866,2.2,111.9,8.1,93.2,3.6,0,0,0,77,0.06,6.9,13.8,33.3,17.2,0,0,115,15,18,33,1373.4,16.4,2,8,10,154.1,7,1,58,9,"F"
"276",725000,40,-11,0.1,11,0,1,1.3,14.8,13.1,52,3,3,2,6,75,4.9,940,51.9,55.8,48.2,0.6,4,17,68,52,38,6,2,8,77.5,28,39,5,8,12,0,0,308,332,224,238,38,42,3,0,0,3,1640,0.67,87.8,2.3,97.5,3.3,0,0,0,0,0.01,0,0,0,-15.7,0,0,39,4,2,6,381.3,-7.8,0,0,0,12.8,0,0,0.7,2,"F"
"277",850000,38,0,0.2,10,0,0,3.7,18.4,12,107,2,7,3,9,100,6,1014,49.1,52.9,48.1,2,4.4,16,63,55,36,4,7,11,95.2,78,37,9,16,14,1,25,288,311,206,214,49,37,2,0,0,2,3099,1.38,82,13.7,85.7,0.9,0,0,0,76,0.04,0,73.8,0,-2.4,0,0,69,13,17,30,845.5,16.5,0,1,1,31.3,0,0,2,0,"F"
"278",725000,9,0,-0.5,9,0,0,0,2.4,3.4,20,1,2,0,3,60,16.1,1030,47.7,55,46.4,1.6,0.5,2,14,11,8,0,1,1,0,5,4,0,3,5,27,45.6,61,71,45,51,7,12,0,0,0,0,6,0.1,0,0,0,-95.7,0,0,0,0,0.04,0,0,0,-4.5,0,0,78,5,5,10,590.1,-29.7,1,0,1,14.2,0,0,1.8,1,"F"
"279",4600000,63,6,6.8,22,1,2,-6.5,56.4,37.2,80,12,14,4,26,91.2,6.4,982,63.4,47.1,57.4,7.8,12.2,44,235,176,122,11,15,26,118.6,50,68,26,14,2,1,50,844,631,624,478,119,95,4,3,0,7,8607,2.16,121.4,5.9,95.4,7.9,0,1,1,3981,1.06,18,80,18.3,6.9,3,1,220,47,62,109,2699.4,61.7,13,7,20,370.3,5,8,177.2,8,"F"
"280",675000,64,-14,-10.1,32,0,0,-9,16.6,26.9,235,3,3,1,6,70.6,4,960,44.9,59.8,42.9,-5.1,5.8,19,127,102,70,3,4,7,49.9,165,61,10,20,24,3,75,427,570,322,420,42,70,0,0,0,0,292,0.1,11.3,0,100,14.8,0,1,1,3487,0.93,17.5,84.8,17.1,3.7,4,4,55,4,7,11,594.3,-14.8,0,0,0,2.4,0,0,0.9,0,"F"
